"지역구분코드","행정구역시도코드","학교급구분코드","학년","사교육비총비용","학생성별코드","가중값"
1,11,1,1,358.84058790783555,1,98.4983442084034
1,11,1,1,358.84058790783555,2,167.670362971685
1,11,1,1,358.84058790783555,2,167.670362971685
1,11,1,1,358.84058790783555,2,168.940592994197
1,11,1,1,364.538701218356527333333333333333333333,1,115.427747119223
1,11,1,1,366.4777368631350195,2,171.27617722914
1,11,1,1,368.416772507913511666666666666666666667,1,115.427747119223
1,11,1,1,368.416772507913511666666666666666666667,1,194.622177522845
1,11,1,1,368.416772507913511666666666666666666667,2,58.3213880181336
1,11,1,1,3688.810851329653725,1,72.2678068920351
1,11,1,1,370.801940838096735,2,242.645831716794
1,11,1,1,372.294843797470496,2,171.27617722914
1,11,1,1,376.172915087027480333333333333333333333,2,228.780355618692
1,11,1,1,382.364582004015880499999999999999999999,2,208.52376163162
1,11,1,1,383.929057666141449,1,212.315102752195
1,11,1,1,383.929057666141449,2,212.315102752195
1,11,1,1,383.929057666141449,2,68.0416193544892
1,11,1,1,386.3516996474362755,1,208.52376163162
1,11,1,1,387.946546704804433500000000000000000001,1,242.645831716794
1,11,1,1,389.7461646004769255,2,58.3213880181336
1,11,1,1,391.685200245255417666666666666666666667,2,68.0416193544892
1,11,1,1,394.724646698619105,1,167.670362971685
1,11,1,1,395.563271534812402,2,115.427747119223
1,11,1,1,395.563271534812402,2,171.27617722914
1,11,1,1,399.441342824369386333333333333333333333,2,194.622177522845
1,11,1,1,399.509187870723579,2,189.627196217977
1,11,1,1,40.7197485403483355,1,115.427747119223
1,11,1,1,402.698881985459894999999999999999999999,1,168.940592994197
1,11,1,1,414.261523151379040500000000000000000001,1,190.65029634891
1,11,1,1,415.457658444405159000000000000000000001,2,167.670362971685
1,11,1,1,415.856370208747198499999999999999999999,2,208.52376163162
1,11,1,1,417.6682778852872127,1,171.27617722914
1,11,1,1,418.647352559141475,1,169.905967811307
1,11,1,1,418.647352559141475,1,190.65029634891
1,11,1,1,418.647352559141475,2,169.905967811307
1,11,1,1,418.647352559141475,2,189.627196217977
1,11,1,1,418.647352559141475,2,189.627196217977
1,11,1,1,418.831699272154308,1,165.186357594326
1,11,1,1,418.831699272154308,1,194.622177522845
1,11,1,1,420.770734916932800166666666666666666668,1,163.371122895488
1,11,1,1,422.709770561711292333333333333333333332,1,182.042108369258
1,11,1,1,426.587841851268276666666666666666666668,1,171.27617722914
1,11,1,1,426.587841851268276666666666666666666668,1,212.315102752195
1,11,1,1,426.587841851268276666666666666666666668,1,228.780355618692
1,11,1,1,430.465913140825261,1,171.27617722914
1,11,1,1,430.465913140825261,1,212.315102752195
1,11,1,1,430.465913140825261,1,212.315102752195
1,11,1,1,430.465913140825261,2,163.371122895488
1,11,1,1,430.60870548940266,1,169.905967811307
1,11,1,1,430.60870548940266,2,242.645831716794
