"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1382",2019-09-20,"000547","흥국화재2우B","-",20200,"-","-","-","-",0,0,1382,NA
"1383",2019-09-20,"000590","CS홀딩스","-",60300,"5,469","11.03","189,462","0.32",500,0.83,1383,NA
"1384",2019-09-20,"000680","LS네트웍스","-",2530,"222","11.4","8,096","0.31",0,0,1384,NA
"1385",2019-09-20,"000700","유수홀딩스","-",7370,"361","20.42","8,396","0.88",0,0,1385,NA
"1386",2019-09-20,"000760","이화산업","-",15550,"-","-","37,973","0.41",0,0,1386,NA
"1387",2019-09-20,"000815","삼성화재우","-",162000,"-","-","-","-",11505,7.1,1387,NA
"1388",2019-09-20,"000850","화천기공","-",39750,"5,753","6.91","130,939","0.3",1250,3.14,1388,NA
"1389",2019-09-20,"000860","강남제비스코","-",22950,"5,942","3.86","79,596","0.29",550,2.4,1389,NA
"1390",2019-09-20,"00088K","한화3우B","-",13850,"-","-","-","-",595,4.3,1390,NA
"1391",2019-09-20,"000950","전방","-",16600,"-","-","74,392","0.22",0,0,1391,NA
"1392",2019-09-20,"001045","CJ우","-",44200,"-","-","-","-",1500,3.39,1392,NA
"1393",2019-09-20,"001070","대한방직","-",19900,"3,024","6.58","33,400","0.6",300,1.51,1393,NA
"1394",2019-09-20,"001130","대한제분","-",168000,"30,882","5.44","443,198","0.38",2500,1.49,1394,NA
"1395",2019-09-20,"001200","유진투자증권","-",2270,"480","4.73","7,760","0.29",60,2.64,1395,NA
"1396",2019-09-20,"001250","GS글로벌","-",2510,"249","10.08","4,636","0.54",25,1,1396,NA
"1397",2019-09-20,"001260","남광토건","-",14100,"582","24.23","4,998","2.82",0,0,1397,NA
"1398",2019-09-20,"001275","부국증권우","-",19050,"-","-","-","-",1250,6.56,1398,NA
"1399",2019-09-20,"001340","백광산업","-",2765,"548","5.05","3,460","0.8",50,1.81,1399,NA
"1400",2019-09-20,"001420","태원물산","-",4405,"48","91.77","4,238","1.04",70,1.59,1400,NA
"1401",2019-09-20,"001440","대한전선","-",582,"-","-","356","1.63",0,0,1401,NA
"1402",2019-09-20,"001465","BYC우","-",134500,"-","-","-","-",1050,0.78,1402,NA
"1403",2019-09-20,"001510","SK증권","-",642,"43","14.93","1,136","0.57",10,1.56,1403,NA
"1404",2019-09-20,"001515","SK증권우","-",2865,"-","-","-","-",15,0.52,1404,NA
"1405",2019-09-20,"001525","동양우","-",7320,"-","-","-","-",100,1.37,1405,NA
"1406",2019-09-20,"001527","동양2우B","-",9400,"-","-","-","-",150,1.6,1406,NA
"1407",2019-09-20,"001550","조비","-",22000,"64","343.75","9,293","2.37",0,0,1407,NA
"1408",2019-09-20,"001560","제일연마","-",6360,"717","8.87","7,680","0.83",200,3.14,1408,NA
"1409",2019-09-20,"001630","종근당홀딩스","-",97100,"5,481","17.72","85,685","1.13",1300,1.34,1409,NA
"1410",2019-09-20,"001685","대상우","-",12950,"-","-","-","-",560,4.32,1410,NA
"1411",2019-09-20,"001750","한양증권","-",7430,"355","20.93","20,361","0.36",250,3.36,1411,NA
"1412",2019-09-20,"001755","한양증권우","-",8290,"-","-","-","-",300,3.62,1412,NA
"1413",2019-09-20,"001770","신화실업","-",24850,"535","46.45","30,632","0.81",100,0.4,1413,NA
"1414",2019-09-20,"001780","알루코","-",2470,"26","95","2,743","0.9",25,1.01,1414,NA
"1415",2019-09-20,"001790","대한제당","-",23800,"1,124","21.17","46,941","0.51",550,2.31,1415,NA
"1416",2019-09-20,"001880","삼호","-",21150,"4,251","4.98","24,218","0.87",250,1.18,1416,NA
"1417",2019-09-20,"001940","KISCO홀딩스","-",12550,"1,658","7.57","42,154","0.3",280,2.23,1417,NA
"1418",2019-09-20,"002020","코오롱","-",17100,"106","161.32","52,100","0.33",500,2.92,1418,NA
"1419",2019-09-20,"002030","아세아","-",120500,"26,329","4.58","336,112","0.36",1750,1.45,1419,NA
"1420",2019-09-20,"002150","도화엔지니어링","-",11250,"409","27.51","7,377","1.53",220,1.96,1420,NA
"1421",2019-09-20,"002170","삼양통상","-",61800,"8,445","7.32","97,614","0.63",750,1.21,1421,NA
"1422",2019-09-20,"002200","수출포장","-",19600,"4,323","4.53","57,993","0.34",600,3.06,1422,NA
"1423",2019-09-20,"002300","한국제지","-",17650,"-","-","92,899","0.19",100,0.57,1423,NA
"1424",2019-09-20,"002310","아세아제지","-",30650,"8,785","3.49","59,569","0.51",750,2.45,1424,NA
"1425",2019-09-20,"002355","넥센타이어1우B","-",3795,"-","-","-","-",105,2.77,1425,NA
"1426",2019-09-20,"002390","한독","-",21700,"590","36.78","22,333","0.97",450,2.07,1426,NA
"1427",2019-09-20,"002410","범양건영","-",1660,"222","7.48","2,020","0.82",0,0,1427,NA
"1428",2019-09-20,"002420","세기상사","-",58300,"-","-","57,277","1.02",0,0,1428,NA
"1429",2019-09-20,"002450","삼익악기","-",1845,"162","11.39","2,333","0.79",50,2.71,1429,NA
"1430",2019-09-20,"002600","조흥","-",154500,"13,392","11.54","209,196","0.74",6000,3.88,1430,NA
"1431",2019-09-20,"002620","제일파마홀딩스","-",15500,"1,363","11.37","30,697","0.5",70,0.45,1431,NA
"1432",2019-09-20,"002690","동일제강","-",2800,"9","311.11","8,726","0.32",0,0,1432,NA
"1433",2019-09-20,"002700","신일산업","-",1575,"166","9.49","938","1.68",25,1.59,1433,NA
"1434",2019-09-20,"002760","보락","-",2280,"18","126.67","731","3.12",5,0.22,1434,NA
"1435",2019-09-20,"002795","아모레G우","-",25400,"-","-","-","-",315,1.24,1435,NA
"1436",2019-09-20,"002820","선창산업","-",4945,"-","-","20,179","0.25",70,1.42,1436,NA
"1437",2019-09-20,"002870","신풍제지","-",1325,"315","4.21","1,502","0.88",80,6.04,1437,NA
"1438",2019-09-20,"002920","유성기업","-",2800,"143","19.58","10,075","0.28",100,3.57,1438,NA
"1439",2019-09-20,"003010","혜인","-",5410,"-","-","7,855","0.69",30,0.55,1439,NA
"1440",2019-09-20,"003080","성보화학","-",4910,"309","15.89","7,677","0.64",210,4.28,1440,NA
"1441",2019-09-20,"003120","일성신약","-",83800,"2,192","38.23","121,930","0.69",750,0.89,1441,NA
