"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"203","005290","동진쎄미켐","코스닥","IT H/W",16250,1000,835485527500,"2019-09-20","-",15500,"928","16.7","5,875","2.64",90,0.58,1158,NA
"204","046890","서울반도체","코스닥","IT H/W",14200,150,827936680000,"2019-09-20","-",14550,"1,094","13.3","11,122","1.31",284,1.95,1217,NA
"205","192400","쿠쿠홀딩스","코스피","금융업",116000,3500,825042692000,"2019-09-20","-",108500,"15,206","7.14","85,689","1.27",3000,2.76,2196,NA
"206","214370","케어젠","코스닥","제약",76500,0,821839500000,"2019-09-20","관리종목",76500,"2,950","25.93","22,422","3.41",600,0.78,894,NA
"207","041960","코미팜","코스닥","제약",12850,-150,821428218750,"2019-09-20","-",13250,"-","-","1,467","9.03",0,0,1208,NA
"208","093370","후성","코스피","화학",8820,10,816792143580,"2019-09-20","-",9130,"333","27.42","2,246","4.07",0,0,2166,NA
"209","064960","S&T모티브","코스피","운수장비",55700,-600,814508675200,"2019-09-20","-",52000,"4,005","12.98","49,754","1.05",1200,2.31,2140,NA
"210","008060","대덕전자","코스피","전기전자",10400,300,811272508800,"2019-09-20","-",10100,"6,032","1.67","12,100","0.83",300,2.97,2045,NA
"211","298380","에이비엘바이오","코스닥","제약",17700,-800,801869295000,"2019-09-20","-",19000,"-","-","3,520","5.4",0,0,1312,NA
"212","006040","동원산업","코스피","어업",218000,-2000,801725738000,"2019-09-20","-",223000,"20,549","10.85","289,909","0.77",3000,1.35,2031,NA
"213","032350","롯데관광개발","코스피","서비스업",11550,-350,797069427000,"2019-09-20","-",12250,"-","-","4,353","2.81",0,0,2106,NA
"214","022100","포스코 ICT","코스닥","기타서비스",5230,10,795141632670,"2019-09-20","-",5110,"-","-","2,227","2.29",50,0.98,1170,NA
"215","035900","JYP Ent.","코스닥","오락·문화",22250,-650,789763572000,"2019-09-20","-",22700,"742","30.59","3,587","6.33",122,0.54,1192,NA
"216","030190","NICE평가정보","코스닥","기타서비스",13000,-550,789292660000,"2019-09-20","-",13750,"641","21.45","3,267","4.21",190,1.38,1180,NA
"217","105630","한세실업","코스피","섬유의복",19600,-100,7.84e+11,"2019-09-20","-",19300,"-","-","10,306","1.87",450,2.33,2172,NA
"218","200130","콜마비앤에이치","코스닥","제약",26450,-150,781427109100,"2019-09-20","-",26600,"1,637","16.25","6,928","3.84",200,0.75,1287,NA
"219","012630","HDC","코스피","금융업",13050,0,779629459050,"2019-09-20","-",13200,"15,943","0.83","32,167","0.41",150,1.14,2072,NA
"220","001680","대상","코스피","음식료품",22350,-200,774383358750,"2019-09-20","-",22450,"1,801","12.47","25,405","0.88",550,2.45,1981,NA
"221","079550","LIG넥스원","코스피","기계",35000,300,7.7e+11,"2019-09-20","-",35200,"203","173.4","29,552","1.19",500,1.42,2154,NA
"222","085620","미래에셋생명","코스피","금융업",4325,90,765595017425,"2019-09-20","-",4285,"760","5.64","10,422","0.41",170,3.97,2158,NA
"223","067160","아프리카TV","코스닥","IT S/W & SVC",66200,1700,760953575400,"2019-09-20","-",64500,"2,016","31.99","8,041","8.02",470,0.73,1239,NA
"224","041510","에스엠","코스닥","오락·문화",32300,-500,757173402300,"2019-09-20","-",32450,"1,363","23.81","18,424","1.76",0,0,1206,NA
"225","071840","롯데하이마트","코스피","유통업",32050,-600,756627169600,"2019-09-20","-",32900,"3,620","9.09","87,338","0.38",1700,5.17,2147,NA
"226","079160","CJ CGV","코스피","서비스업",35500,1050,751226611500,"2019-09-20","-",34400,"-","-","5,284","6.51",200,0.58,2151,NA
"227","192820","코스맥스","코스피","화학",74500,1000,748688420500,"2019-09-20","-",74800,"3,247","23.04","26,411","2.83",600,0.8,2197,NA
"228","000250","삼천당제약","코스닥","제약",33650,150,743860607450,"2019-09-20","-",34150,"409","83.5","6,719","5.08",50,0.15,1156,NA
